area_name,N_lat,S_lat,W_long,E_long
M-34-100-B-b-2-1,49.3333305606086,49.3125031704475,19.9371045624844,19.9691587764046
M-34-100-B-b-4-4,49.2708303488258,49.2500033991379,19.968342269966,20.0004210271557
M-34-100-B-c-2-3,49.2291634797459,49.2083364016869,19.8121585575167,19.8441046416932
M-34-101-A-c-1-4,49.2291619654966,49.2083378481299,20.0308166335408,20.0629466449016
M-34-101-A-c-1-3,49.2291621702483,49.2083376145949,19.9995798180337,20.0316834725402
M-34-100-B-a-3-2,49.2916635992168,49.270836159189,19.7809209518094,19.8128422694011
M-34-100-B-b-1-3,49.312497014248,49.29166879903,19.8746312908431,19.9066320979855
M-34-100-B-d-1-1,49.2499969742568,49.2291687856216,19.8746320557701,19.9066312633071
M-34-101-A-b-1-3,49.3124950961328,49.2916706627281,20.1245259087847,20.1567375145417
M-34-101-A-b-2-1,49.3333285197055,49.3125051193079,20.186999205171,20.219264217307
M-34-100-B-a-2-2,49.33333116448,49.3125026353823,19.8433940797648,19.8753692730058
M-34-100-B-b-2-2,49.3333303291581,49.3125034351325,19.9683414732992,20.0004219816758
M-34-100-B-d-1-3,49.2291630307593,49.2083367701086,19.8746322920425,19.9066309414371
M-34-100-B-d-3-1,49.2083309930574,49.1875027905822,19.8746326100476,19.9066306381893
M-34-101-A-b-1-2,49.3333288441268,49.3125048533836,20.1557623758621,20.1880010881857
M-34-101-A-c-2-2,49.2499954204032,49.229170375248,20.0932900531015,20.1254733159934
M-34-100-B-b-1-2,49.3333307916905,49.3125030077205,19.9058678329726,19.9378956140073
M-34-100-B-b-3-3,49.2708309342167,49.2500027968155,19.8746318337555,19.9066315691808
M-34-100-B-b-3-4,49.2708308024535,49.2500029567792,19.9058686506833,19.9378946358176
M-34-100-B-c-1-3,49.2291638221999,49.2083359804667,19.7496848260388,19.7815783484911
M-34-101-A-a-1-3,49.3124961548439,49.2916697227558,19.9995785889826,20.0316847888823
M-34-101-A-a-1-4,49.3124958923063,49.2916698953004,20.0308153476941,20.0629479675684
M-34-101-A-b-3-1,49.2916611324979,49.2708385424504,20.124526272618,20.1567370370356
M-34-101-A-c-1-1,49.2499961361682,49.2291696493305,19.9995794973874,20.031683776547
M-34-100-B-a-2-1,49.3333313973999,49.3125024239165,19.8121573285804,19.8441059556008
M-34-100-B-b-4-1,49.291662629181,49.2708372084871,19.9371051734108,19.9691580696189
M-34-100-B-b-4-3,49.2708305766326,49.2500032172011,19.9371055092193,19.9691578791297
M-34-100-B-c-1-1,49.2499977578448,49.2291680822354,19.7496845412122,19.7815786913901
M-34-101-A-a-2-4,49.3124953631032,49.291670365472,20.0932890061406,20.1254743290142
M-34-101-A-a-4-3,49.2708296476628,49.2500040956622,20.0620528156873,20.0942104631478
M-34-101-A-c-4-3,49.1874956433195,49.1666701725935,20.0620541473576,20.0942090627138
M-34-101-A-c-3-2,49.2083298763935,49.1875039111131,20.0308169695046,20.0629462867673
M-34-100-B-b-3-2,49.2916628257189,49.2708369207484,19.9058683604868,19.9378949952076
M-34-100-B-c-1-4,49.2291636531058,49.2083362310122,19.7809217440856,19.8128414775719
M-34-100-B-d-2-1,49.249996562669,49.2291692435948,19.9371056951905,19.9691575046454
M-34-100-B-a-2-3,49.3124974390214,49.2916684139491,19.8121575374698,19.844105791069
M-34-100-B-c-2-2,49.2499972204336,49.2291686616509,19.8433952271914,19.8753680656009
M-34-100-B-c-3-2,49.2083315987108,49.1875022342922,19.780921884706,19.812841314021
M-34-100-B-d-1-2,49.2499968153807,49.2291690092728,19.9058689242803,19.9378943645086
M-34-101-A-a-2-3,49.3124956280084,49.2916701695754,20.0620521542171,20.0942111930172
M-34-101-A-a-4-2,49.2916614318842,49.2708383668469,20.0932894682544,20.1254739645091
M-34-101-A-c-2-4,49.229161452271,49.2083383393222,20.0932904008944,20.1254728517274
M-34-101-A-c-4-1,49.2083296360404,49.1875041220618,20.0620538871207,20.0942094104788
M-34-100-B-d-2-4,49.2291623697646,49.2083373904885,19.9683429088396,20.0004203446727
M-34-101-A-a-3-4,49.2708298844824,49.2500038822985,20.0308160601544,20.0629473177975
M-34-100-B-a-4-2,49.2916632150293,49.2708365606416,19.8433947196161,19.8753686931814
M-34-100-B-b-2-4,49.3124963258384,49.2916694733419,19.9683417354436,20.0004216537542
M-34-100-B-c-3-1,49.2083317910941,49.1875020052561,19.7496850449497,19.7815781400791
M-34-101-A-a-1-1,49.333330098397,49.312503623947,19.9995782881446,20.0316850935532
M-34-101-A-a-2-1,49.333329634769,49.3125041310537,20.0620519178238,20.0942114556781
M-34-101-A-a-4-4,49.2708293171386,49.2500043175107,20.0932897554621,20.1254736541209
M-34-101-A-b-1-1,49.3333290785129,49.3125046008194,20.1245254607414,20.1567378718081
M-34-100-B-a-1-2,49.3333315394944,49.3125022270583,19.7809204762026,19.8128428116829
M-34-100-B-b-1-1,49.3333309336824,49.3125027693727,19.8746310047887,19.9066323537753
M-34-100-B-b-3-1,49.2916630213329,49.2708367344027,19.8746315894177,19.9066318243382
M-34-100-B-c-2-1,49.249997373013,49.229168458537,19.8121582966727,19.8441049042246
M-34-100-B-c-4-2,49.2083311992625,49.1875026270954,19.8433956659545,19.8753676303916
M-34-101-A-b-3-3,49.2708290740181,49.2500046401828,20.1245266080524,20.1567367586392
